id,session_id,question_id,answer_value,created_at
002be5a4-4768-46a4-a3dc-6f3928bda6c1,99406fa5-3a76-4bc8-9160-3b3f8ae0111b,tool_trust,1,2026-02-23 13:17:39.550491+00
003d2e20-ce67-44e4-b533-234903fd13d1,8c6a9c39-5d8c-4fe0-96ed-a070458a66d6,work_style,intense,2026-02-22 07:40:44.399322+00
0103f659-b328-4ac8-96ec-7efa74b35cf5,3cbcbf96-a5d5-474d-995c-bb730b36164f,trigger,notification,2026-02-26 19:20:21.949741+00
01716444-19b6-4c5e-bedf-6a0f29499394,616e2ca5-2e1d-420e-94e0-09344c8d4bcb,seeking,avoid,2026-02-22 08:43:31.39122+00
018b6b28-e7c1-4b74-a715-8abfd1fef29f,afaae2c7-c6a2-4da6-9c02-356dce827f96,awareness,3,2026-02-23 14:03:37.725471+00
01cae720-866e-4074-87be-65f0f7d73192,172e1621-50ea-49d5-895c-95c5bddf06f5,awareness,5,2026-03-03 11:49:18.740476+00
0349e1aa-2bac-4849-92f4-ecba2b25a0ed,96eba9db-6cf0-417f-9ef2-74f508a7d8bc,slip_window,between_meetings,2026-02-23 10:38:01.181003+00
037eee4a-3d0a-4bd4-8abd-d8f1fa7ebe5c,172e1621-50ea-49d5-895c-95c5bddf06f5,why_insights,very,2026-03-03 11:49:18.740476+00
03f48249-63cf-4739-87c5-7b032389adea,15d816a5-9ff7-484f-8470-22c586174941,privacy,"[""mood""]",2026-02-22 08:49:09.258032+00
04457603-6173-449c-a566-72dfc8048fe4,c15fdcba-681c-499b-8502-48415ff9429a,seeking,connection,2026-02-27 09:13:16.448118+00
050724d2-9673-464b-95ae-5c60ec51ff94,7b06ed25-38c8-4deb-8a05-d447e689758a,why_insights,somewhat,2026-02-26 12:59:25.071512+00
0576a93c-31be-4c4f-ab52-0b1decf19c58,8fbcff31-49f7-4c32-a40d-01258c5d8442,slip_window,late_night,2026-02-23 14:07:09.653945+00
05e4080c-b941-4997-92b2-1fe4d80ccc17,c15fdcba-681c-499b-8502-48415ff9429a,after_hours,5,2026-02-27 09:13:16.448118+00
0a81c3bb-d554-4782-86db-809b8e2b72ee,441628a5-bf9a-4d8b-a907-3557c1e8740c,seeking,reward,2026-02-22 09:06:49.446597+00
0c620ed3-b420-4bba-8f4d-269219e1960a,078e2b9a-77cb-4365-9039-69af441a7f9f,habit_vs_emotion,5,2026-03-03 07:46:11.159981+00
0dcb77a9-989d-4378-ad98-dd461eafbe33,7b06ed25-38c8-4deb-8a05-d447e689758a,openness,5,2026-02-26 12:59:25.071512+00
0f7181e0-f81b-4e93-9719-77bd84368929,99406fa5-3a76-4bc8-9160-3b3f8ae0111b,privacy,"[""none""]",2026-02-23 13:17:39.550491+00
0f88cd34-daff-4216-b61c-30dae21647d5,850aa4fc-3794-4983-9398-f871f02fd3eb,tool_trust,2,2026-02-23 17:23:48.926788+00
1009530e-5b9c-4413-8344-292ecd166483,850aa4fc-3794-4983-9398-f871f02fd3eb,work_style,flexible,2026-02-23 17:23:48.926788+00
10b3ea8c-e0ef-4ea9-8fd1-5966a3a3356d,850aa4fc-3794-4983-9398-f871f02fd3eb,privacy,"[""screen_time""]",2026-02-23 17:23:48.926788+00
10f7a7c7-a911-4343-9295-3e961fcca543,850aa4fc-3794-4983-9398-f871f02fd3eb,trigger,fatigue,2026-02-23 17:23:48.926788+00
1117664c-be04-4e16-8e16-ebf556099d60,078e2b9a-77cb-4365-9039-69af441a7f9f,tool_trust,1,2026-03-03 07:46:11.159981+00
111ca54c-8938-4d08-9d39-b91a361194c2,d480f412-f305-475a-9736-9722880d5a35,privacy,"[""mood""]",2026-03-03 20:43:43.025552+00
11ac1670-f1f2-4312-b183-cfe8d948896b,54d0886c-1485-4c0e-a813-2cf275d15940,why_insights,very,2026-02-23 13:11:01.506692+00
120a687a-f290-4f19-af0a-1e2747785921,7b06ed25-38c8-4deb-8a05-d447e689758a,slip_window,commute,2026-02-26 12:59:25.071512+00
12839fbc-63bc-4797-a688-fbd783f1162b,441628a5-bf9a-4d8b-a907-3557c1e8740c,slip_window,commute,2026-02-22 09:06:49.446597+00
14e3d9c8-5fd5-4c12-9eb2-643325dfdcaa,51474169-46de-464f-bd73-f731249571c2,tool_trust,4,2026-02-22 08:15:30.779574+00
1693ffd1-35dd-4a3a-8ae5-0e6a24de7ca8,d480f412-f305-475a-9736-9722880d5a35,slip_window,late_night,2026-03-03 20:43:43.025552+00
1747bee7-6ffb-478c-89f8-9cc8fc17a911,d480f412-f305-475a-9736-9722880d5a35,tool_trust,4,2026-03-03 20:43:43.025552+00
176224e3-14a0-45e4-9f70-b50ff0f49cae,d480f412-f305-475a-9736-9722880d5a35,why_insights,neutral,2026-03-03 20:43:43.025552+00
176c1bda-3550-4e6c-ba86-445eaf21db23,a74bae90-97fd-4a88-8ac0-a9a1411d199c,awareness,1,2026-02-23 13:12:28.055667+00
18b18f21-0969-41ea-a7f4-f370b55d4ca6,96eba9db-6cf0-417f-9ef2-74f508a7d8bc,tool_trust,2,2026-02-23 10:38:01.181003+00
18f8a404-d2ff-4b37-a754-9dfec4127021,441628a5-bf9a-4d8b-a907-3557c1e8740c,why_insights,somewhat,2026-02-22 09:06:49.446597+00
1a5edf81-8226-41c6-a83c-2b031f4ef694,8c6a9c39-5d8c-4fe0-96ed-a070458a66d6,after_hours,4,2026-02-22 07:40:44.399322+00
1be32f31-d765-4e78-9db6-a37d0f5b5dee,8fbcff31-49f7-4c32-a40d-01258c5d8442,habit_vs_emotion,2,2026-02-23 14:07:09.653945+00
1bfb56fd-2612-41da-9f1c-f194b2d65082,850aa4fc-3794-4983-9398-f871f02fd3eb,awareness,2,2026-02-23 17:23:48.926788+00
1cee4a86-2719-463e-8753-9f6b194341b4,1f1f1222-0c37-42e4-b899-eb3b5cc758d0,privacy,"[""screen_time"",""app_usage""]",2026-02-23 08:39:45.904499+00
1cf6af19-47ad-4c90-8e69-0a4e6996f676,51474169-46de-464f-bd73-f731249571c2,slip_window,late_night,2026-02-22 08:15:30.779574+00
1d5bac0e-6f39-404a-b8fc-c4f041205747,dd32b023-36fc-43e3-ad34-d9d54701d357,openness,5,2026-03-03 20:47:08.764766+00
1d773741-35c5-422f-a54f-2d1046f44100,a65ffae3-638d-48e1-868c-8a140c52706c,awareness,4,2026-02-23 16:56:39.631894+00
1dc22ed6-621d-43e1-a4b5-39877db4070a,850aa4fc-3794-4983-9398-f871f02fd3eb,after_hours,2,2026-02-23 17:23:48.926788+00
1e36d1d8-6d0d-4d28-9c0f-4f542ed17188,54d0886c-1485-4c0e-a813-2cf275d15940,work_style,flexible,2026-02-23 13:11:01.506692+00
2017a37c-266d-438e-b273-d874d878de18,8fbcff31-49f7-4c32-a40d-01258c5d8442,after_hours,1,2026-02-23 14:07:09.653945+00
22aae877-8a62-40f5-8345-1f9cfa53249e,c15fdcba-681c-499b-8502-48415ff9429a,awareness,5,2026-02-27 09:13:16.448118+00
23b16df4-e33a-48f7-b683-60082f66217f,51474169-46de-464f-bd73-f731249571c2,habit_vs_emotion,2,2026-02-22 08:15:30.779574+00
2417b971-3ae1-46ea-9970-458fbd7fe9d0,838ce1a2-5b99-4c79-896b-85a5093f802c,habit_vs_emotion,2,2026-02-23 13:52:25.013464+00
24d13988-8f05-45a3-95c9-47b240c22b0e,afaae2c7-c6a2-4da6-9c02-356dce827f96,trigger,habit,2026-02-23 14:03:37.725471+00
25cb7390-7c7e-43c8-ba8a-56620d88c5be,616e2ca5-2e1d-420e-94e0-09344c8d4bcb,tool_trust,2,2026-02-22 08:43:31.39122+00
2639b77c-b517-4fc6-88c8-68a0ceaffd34,838ce1a2-5b99-4c79-896b-85a5093f802c,seeking,reward,2026-02-23 13:52:25.013464+00
26452f07-b059-4ef8-b81f-2a1eb8696138,96eba9db-6cf0-417f-9ef2-74f508a7d8bc,openness,2,2026-02-23 10:38:01.181003+00
27139046-9194-4e5a-ad3d-9eb41e877123,96eba9db-6cf0-417f-9ef2-74f508a7d8bc,work_style,multitasker,2026-02-23 10:38:01.181003+00
27e061be-ca83-4fe8-ac74-f298a1606492,3cbcbf96-a5d5-474d-995c-bb730b36164f,habit_vs_emotion,4,2026-02-26 19:20:21.949741+00
28c18ee5-cf63-4d1a-85fd-3c75df552050,616e2ca5-2e1d-420e-94e0-09344c8d4bcb,work_style,flexible,2026-02-22 08:43:31.39122+00
28f1e1f2-53e4-4f58-97c9-60a6a64e2ad1,644fde69-6e11-4ac9-bbb6-507f4eedf0f2,trigger,stress,2026-02-26 12:55:13.22691+00
28fc3063-38bb-40a6-91bb-e2964855f8c5,1f1f1222-0c37-42e4-b899-eb3b5cc758d0,work_style,structured,2026-02-23 08:39:45.904499+00
29fd1f99-1d69-40e6-b979-45fc7a323d60,99406fa5-3a76-4bc8-9160-3b3f8ae0111b,seeking,relax,2026-02-23 13:17:39.550491+00
2a064d7d-f4f3-40ab-a6f3-a465a815aa63,dd32b023-36fc-43e3-ad34-d9d54701d357,why_insights,neutral,2026-03-03 20:47:08.764766+00
2a880796-9695-48ec-b1ee-b29d0236e52e,616e2ca5-2e1d-420e-94e0-09344c8d4bcb,trigger,stress,2026-02-22 08:43:31.39122+00
2ace05e6-1b9a-411d-b87e-272bbc36f698,1f1f1222-0c37-42e4-b899-eb3b5cc758d0,openness,1,2026-02-23 08:39:45.904499+00
2c0256bc-1717-4d29-95dc-af6dfcc99c38,441628a5-bf9a-4d8b-a907-3557c1e8740c,habit_vs_emotion,5,2026-02-22 09:06:49.446597+00
2cdde3ce-4eae-40a7-afa0-96c261a1516e,15d816a5-9ff7-484f-8470-22c586174941,work_style,intense,2026-02-22 08:49:09.258032+00
2f44eb6b-08d4-4a4e-89cc-65bc14c2eb5f,c15fdcba-681c-499b-8502-48415ff9429a,tool_trust,5,2026-02-27 09:13:16.448118+00
319e0b32-a178-40b5-ad24-54b25f125494,99406fa5-3a76-4bc8-9160-3b3f8ae0111b,work_style,flexible,2026-02-23 13:17:39.550491+00
321a5719-b977-4e8e-9c02-b2bc4664115a,d480f412-f305-475a-9736-9722880d5a35,openness,4,2026-03-03 20:43:43.025552+00
3269667b-c345-4454-ba39-0802145d59c7,8c6a9c39-5d8c-4fe0-96ed-a070458a66d6,awareness,4,2026-02-22 07:40:44.399322+00
